证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300191.SZ,潜能恒信,0,0.0,0.87,0.6713,2.6162,4.4398,143.6086,-58.7971,-0.1485,-54.5272,3.354,100.1197,0.5674,0.2566,9.7045,9.6924,6.1175,2.8814,21.9623,49.43,2004.6991,41.0989,21.6379,355.3257,能源
300062.SZ,中能电气,0,0.0,1.71,0.6764,1.4532,3.2752,3.1872,-46.4123,0.7687,24.0019,1.2833,5.524,0.6981,0.4654,1.2659,1.1849,0.2621,0.1307,59.1283,14.14,981.7559,13.9409,13.4481,69.1236,工业
300026.SZ,红日药业,0,0.0,8.22,6.0161,8.6262,10.0817,29.6861,37.0306,6.0083,35.3566,2.7594,2.4418,1.2924,0.6974,2.4419,1.8362,0.4813,0.084,27.3857,3.03,34.2979,33.1455,35.7784,265.1546,医疗保健
300385.SZ,雪浪环境,0,0.0,-32.33,-10.3089,-24.8043,-24.6653,19.7516,-469.2706,-29.3367,-427.9881,2.082,1.2907,0.6836,0.4156,1.1588,0.7101,0.1647,0.0502,73.8786,7.17,-31.8025,8.7986,3.6698,35.3572,工业
300487.SZ,蓝晓科技,0,0.0,14.86,8.1363,21.1937,23.284,-8.8247,-21.1793,30.8463,-24.4287,3.5576,1.5013,0.7531,0.3839,1.9909,1.5123,0.8746,0.375,34.4763,28.23,128.8896,26.9565,32.7921,190.0545,材料
300647.SZ,超频三,0,0.0,2.47,1.1722,2.6338,2.4145,13.7816,-12.4232,4.8772,-21.2024,2.0794,3.2376,1.0157,0.445,0.9271,0.7194,0.1391,0.0216,52.212,2.46,96.9005,-3.5051,10.9052,91.5269,信息技术
300703.SZ,创源股份,0,0.0,7.07,4.6101,5.3629,5.8428,16.5955,-50.3873,-0.8825,-52.4253,4.0924,5.531,1.2975,0.8596,1.4134,1.1361,0.4596,-0.0342,47.7216,-2.0,-41.8441,18.7636,18.6155,109.5487,可选消费
300075.SZ,数字政通,0,0.0,6.05,4.42,11.2017,11.9318,12.4416,21.964,31.8116,19.6603,1.2667,4.9234,0.5341,0.3946,3.7359,3.4609,1.9315,0.2739,23.3177,15.96,142.2504,55.5707,24.2395,328.8586,信息技术
300292.SZ,吴通控股,0,0.0,-43.86,-22.0878,-15.2052,-14.5791,6.347,-1027.1733,-32.4275,-594.8271,8.5439,6.3745,2.1547,1.4527,1.324,1.1813,0.3538,-0.0069,58.5732,-0.27,1.8108,18.8974,-45.0916,70.7266,信息技术
300622.SZ,博士眼镜,0,0.0,11.9,9.655,10.3448,13.184,0.1954,8.5066,7.2812,5.3363,20.1667,2.3414,1.1852,0.9333,5.0246,4.2586,3.4328,0.8481,16.8664,15.57,147.75,65.6869,33.2594,492.8942,可选消费
300481.SZ,濮阳惠成,0,0.0,19.49,17.3852,19.5687,22.9462,34.2061,23.4457,15.4561,25.225,7.3673,7.4967,1.4878,0.8884,12.324,10.3221,4.5092,1.1346,7.1735,6.38,32.4371,53.9079,49.9712,1294.0239,材料
300425.SZ,中建环能,0,0.0,9.49,5.0613,13.9889,14.4232,0.835,4.8628,9.2596,-2.4547,1.3327,2.1455,0.685,0.3618,1.4369,1.2046,0.2764,0.178,42.885,17.8,130.5059,15.4493,19.299,133.1819,工业
300303.SZ,聚飞光电,0,0.0,12.88,6.777,13.0892,14.7802,-6.2125,0.4825,13.0751,-2.0362,2.5663,7.4589,0.7318,0.5178,2.0857,1.9445,1.3748,0.1422,49.4582,10.46,80.6415,37.8753,22.1054,102.1911,信息技术
300322.SZ,硕贝德,0,0.0,4.53,1.5478,1.9938,2.0534,5.5116,-61.9115,104.568,-62.0861,3.577,5.1124,1.124,0.7763,1.463,1.2468,0.7423,0.0579,52.6343,4.62,284.4401,23.0837,8.7055,89.9901,信息技术
300172.SZ,中电环保,0,0.0,11.38,6.8629,19.3315,21.5906,1.4282,22.5066,11.6023,19.4586,1.5782,3.8074,0.6066,0.355,2.4782,2.4033,0.9642,0.1441,36.3867,9.86,51.2195,34.7979,34.9404,174.826,工业
300781.SZ,因赛集团,0,0.0,2.56,3.5071,8.4455,9.4499,-18.5283,-48.6789,-0.0942,-51.6785,2.244,2.0969200000000003,0.5691,0.4153,3.1671,3.1671,2.2933,0.3577,19.7349,18.35,368.1881,42.741,19.2308,406.7165,通讯服务
300493.SZ,润欣科技,0,0.0,6.04,4.3812,3.2596,3.7611,-4.3701,52.9718,0.833,79.6687,4.0502,10.9422,1.6686,1.3441,2.8251,2.4811,0.854,0.2694,30.8365,6.31,194.3958,54.4375,17.9114,224.2907,信息技术
300667.SZ,必创科技,0,0.0,5.32,3.3792,6.5556,6.7955,110.9698,51.7327,35.1715,79.2679,3.3064,2.5259,0.9333,0.5155,2.4873,1.876,0.9877,0.2034,26.3392,9.49,144.4417,34.2161,15.1654,279.6623,信息技术
300553.SZ,集智股份,0,0.0,3.75,2.55,6.1832,7.2726,-1.0088,-42.2637,2.1129,-42.0409,2.6323,1.3345,0.5591,0.4124,3.7135,2.8263,1.8872,0.2217,19.7935,11.37,147.0389,53.7099,32.1888,405.2176,信息技术
300224.SZ,正海磁材,0,0.0,5.16,3.5084,6.8139,7.0413,8.6392,51.8203,-0.0813,61.5629,3.7266,2.4095,0.7337,0.5149,2.32,1.7179,1.2539,0.2397,33.3344,14.66,215.2457,39.6433,16.3266,199.9903,材料
300485.SZ,赛升药业,0,0.0,5.66,5.2197,13.8256,16.4423,-8.118,2.5269,4.8738,1.5524,8.1334,1.0787,0.7027,0.3775,10.9319,9.7628,8.7998,1.9434,4.7183,24.1,170.2516,45.0609,49.6919,2019.3914,医疗保健
300417.SZ,南华仪器,0,0.0,12.81,10.1529,21.2955,23.5519,-47.9485,-69.7956,0.5663,-71.4777,5.6453,1.105,0.6664,0.4768,4.6335,3.1265,2.4466,0.2611,17.1541,8.07,37.8804,55.8087,58.882,482.9514,信息技术
300715.SZ,凯伦股份,0,0.0,23.36,10.0772,13.8745,15.8445,72.3307,105.657,26.2324,100.6018,2.7299,7.1763,0.9616,0.7263,1.3313,1.2454,0.6849,-0.058,61.5806,-5.55,-39.9728,18.2676,15.9929,62.3889,材料
300685.SZ,艾德生物,0,0.0,17.84,15.4147,24.7568,27.7523,25.9417,33.1075,25.0954,24.4354,2.6503,4.92,0.8066,0.6226,6.7372,6.594,4.459,1.4739,12.7161,30.3,122.3862,66.4425,41.1618,686.4057,医疗保健
300602.SZ,飞荣达,0,0.0,10.26,4.9718,7.0713,7.5878,12.009,-41.2514,58.6251,-43.8342,2.9043,4.3251,1.2005,0.7031,1.6553,1.3175,0.6709,0.2297,42.6966,12.65,177.3854,22.547,25.3504,134.2105,信息技术
300263.SZ,隆华科技,0,0.0,7.97,5.0684,13.8199,15.9581,-2.6343,21.9139,-2.2842,18.1578,1.8105,2.2248,0.7439,0.3667,1.072,0.8356,0.3037,0.0963,45.8444,12.23,100.4039,3.1666,20.246,118.1291,工业
300042.SZ,朗科科技,0,0.0,6.84,6.2394,4.7388,5.6052,24.8545,-1.6699,5.867,-5.5811,12.4805,6.6752,1.6542,1.3167,8.2555,6.308,4.8838,0.1655,9.805,1.28,27.0263,71.0141,28.0017,919.8875,信息技术
300435.SZ,中泰股份,0,0.0,8.92,6.108,9.7734,13.5813,91.1865,149.6795,8.8581,193.8754,3.7732,7.6478,1.2187,0.625,1.7796,1.5695,0.7513,0.42,33.37,21.21,213.8865,22.5964,18.0529,199.6701,公用事业
300087.SZ,荃银高科,0,0.0,24.86,6.9915,9.1712,9.003,38.837,69.4002,40.2409,59.8228,9.0767,1.3649,1.0276,0.7623,1.1952,0.612,0.3337,-0.0424,64.1146,-4.06,-48.6893,12.0903,12.5304,55.9708,日常消费
300214.SZ,日科化学,0,0.0,11.28,9.5651,9.1021,11.776,-6.0135,16.3704,10.3462,10.1,5.4432,8.1623,1.7547,1.0509,4.9563,4.167,2.0626,1.7219,15.2592,20.37,223.801,46.9135,42.1177,555.3418,材料
300210.SZ,森远股份,0,0.0,13.31,6.861,32.6012,34.2395,47.9633,138.8105,14.2199,137.033,1.4503,0.5806,0.3932,0.2105,1.3526,0.8485,0.2097,0.2277,43.8413,42.59,130.2714,14.0002,17.4517,128.0955,工业
300521.SZ,爱司凯,0,0.0,-2.38,-2.0435,-8.9035,-12.1667,-17.2558,-310.7622,-2.5036,-398.1563,0.9538,1.1326,0.4466,0.2295,3.901,3.0508,0.799,0.3002,14.2768,16.56,-186.0363,36.4077,36.0655,600.4357,工业
300099.SZ,尤洛卡,0,0.0,6.77,5.6001,21.1731,23.3421,13.8321,101.2143,0.7057,84.0866,2.4598,1.2432,0.4919,0.2645,4.5286,3.3637,2.0231,0.4319,11.65,19.06,85.9737,41.0542,16.107,758.3714,信息技术
300339.SZ,润和软件,0,0.0,5.98,3.7549,6.7752,6.4036,16.9349,109.3276,1.9379,108.7678,2.3345,3.11824,1.0849,0.5542,2.2554,1.9731,0.8617,0.1858,33.6393,6.98,103.6542,27.06,-14.4042,197.2716,信息技术
300449.SZ,汉邦高科,0,0.0,3.34,3.0343,11.2538,-2.7785,-17.7597,109.188,-1.2134,97.6659,0.8979,6.091,0.5352,0.2696,1.2445,1.1905,0.0324,0.3324,34.702,36.41,323.544,8.0919,-10.7274,188.1676,信息技术
300375.SZ,鹏翎股份,0,0.0,-3.18,-2.5231,-4.1034,-1.7128,4.6265,-147.3386,-18.2502,-116.2902,4.874,3.3383,1.3122,0.6149,2.7437,1.9103,0.5785,0.4475,25.9122,11.97,-291.6868,31.644,37.0627,285.9186,可选消费
300444.SZ,双杰电气,0,0.0,3.8,0.7436,1.6659,1.7885,-27.621,102.1069,0.4852,102.2793,1.2952,2.8088,0.6651,0.4464,1.1551,0.9463,0.2173,0.1117,71.9463,12.81,489.4115,8.2613,-0.767,38.9926,工业
300476.SZ,胜宏科技,0,0.0,14.81,6.2213,9.2666,10.631,44.1482,12.1333,12.1912,14.2365,2.9164,5.9056,1.6048,0.6714,0.7853,0.6235,0.147,0.1882,61.4895,17.21,185.7563,-11.3439,17.1236,62.6294,信息技术
300642.SZ,透景生命,0,0.0,9.94,9.2086,24.6237,27.0131,10.9023,-23.2237,8.38,-27.2607,4.0713,1.1806,0.5327,0.374,9.8396,8.0448,5.8642,1.0186,7.6683,19.78,80.325,61.2568,45.2236,1204.0637,医疗保健
300746.SZ,汉嘉设计,0,0.0,5.8,3.4904,3.4452,3.7337,92.5936,-15.4607,2.9911,-17.2683,5.1416,136.7796,2.2852,1.0131,1.6752,1.6752,0.7316,0.3451,37.833,9.34,303.0132,20.1167,25.2929,164.3194,工业
300253.SZ,卫宁健康,0,0.0,12.54,9.0466,22.3034,24.3394,18.793,27.7961,21.1257,33.7341,2.1921,1.3001,0.7761,0.4056,2.6319,2.5276,0.8105,0.3175,22.1706,17.22,79.4853,33.119,32.2569,351.0471,信息技术
300160.SZ,秀强股份,0,0.0,12.1,7.0633,9.4775,11.0186,1.362,1.5166,0.4108,66.5996,3.9271,6.6457,1.2684,0.7453,1.5445,1.3195,0.5807,0.2451,42.1855,13.51,142.4776,22.1613,14.0221,137.0481,可选消费
300354.SZ,东华测试,0,0.0,12.43,11.0451,24.5321,27.5748,15.486,65.4988,11.3114,62.0639,2.7213,0.7109,0.6697,0.4502,6.3767,4.373,2.3231,0.3988,12.1925,10.29,41.9317,58.4773,38.0729,720.1782,信息技术
300518.SZ,新迅达,0,0.0,18.71,12.3923,81.8278,59.0034,-5.5469,179.0056,20.3778,148.8864,3.3664,4.26708,0.3717,0.1514,1.6486,1.6486,1.2719,0.3396,34.1477,57.03,78.6205,16.4395,31.9472,192.8455,可选消费
300351.SZ,永贵电器,0,0.0,5.43,4.3524,10.1648,10.7514,-2.4621,123.3378,5.5747,127.179,2.1514,2.1083,0.6077,0.4282,4.2899,3.5662,1.8954,0.2536,19.1694,10.39,104.2793,56.559,-7.8533,421.6654,信息技术
300668.SZ,杰恩设计,0,0.0,4.37,3.5684,6.5359,9.8652,-20.0358,-75.7718,-6.3375,-68.6117,1.4255,2.33142,0.6731,0.546,4.5861,4.5861,1.777,0.4155,17.6244,13.2,202.3543,63.0994,42.5456,467.3964,工业
300320.SZ,海达股份,0,0.0,10.15,6.7496,8.7074,10.2262,0.985,-14.1093,9.5781,-13.0808,2.2456,3.8367,1.1459,0.7752,2.006,1.6013,0.3472,0.1644,37.0634,7.42,85.8821,34.2954,29.6298,169.8081,材料
300737.SZ,科顺股份,0,0.0,24.53,12.5916,14.273,16.562,34.0915,145.0271,31.8868,141.7965,2.923,6.1031,1.1781,0.8822,1.6279,1.5371,0.6003,0.1476,49.0391,8.85,62.0194,28.8296,21.4157,103.9188,材料
