证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300096.SZ,ST易联众,0,1.0,-70.2,-26.2239,-74.1505,-66.3552,-38.0977,-206.1067,-51.7637,-141.6808,2.2455,0.8368,0.6077,0.3537,0.8466,0.6719,0.1976,-0.1247,71.3207,-22.41,37.7819,-10.7734,-15.5699,40.2118,信息技术
300427.SZ,红相股份,0,1.0,4.0,2.1809,5.2769,5.5208,17.4783,113.991,-13.55,114.771,1.8103,1.7041,0.6382,0.4133,1.5324,1.085,0.3526,-0.192,64.8791,-20.96,-447.7402,23.416,1.1387,54.1328,工业
300600.SZ,ST瑞科,0,1.0,-0.05,-0.1391,-0.6297,-0.7765,24.6637,99.3582,-0.8253,99.3281,0.7085,1.2775,0.3452,0.2209,2.2803,1.8873,0.4824,0.1047,28.6151,13.18,-7775.0841,36.5542,20.427,249.4663,工业
300029.SZ,ST天龙,0,1.0,54.33,4.3255,4.8518,11.8509,-21.292,362.9428,109.4759,3327.736,1.9059,3.7209,0.9652,0.8915,1.1477,1.0918,0.0833,-0.398,87.5983,-30.67,-637.1529,11.8005,-419.2997,14.1575,信息技术
300368.SZ,ST汇金,0,1.0,-37.63,-8.9743,-54.5981,-57.7143,-63.7669,-1175.0654,-32.2322,-741.2851,0.38,2.0492,0.2414,0.1644,0.9604,0.8871,0.1159,0.158,80.0751,57.8,-118.3839,-2.4754,-0.3771,24.8827,信息技术
300313.SZ,ST天山,0,1.0,-33.81,-5.455,-41.9728,-36.9877,-29.2897,-5.4339,-19.08,-0.4107,4.3523,1.5786,0.5261,0.13,0.5211,0.2811,0.2095,-0.0335,71.6486,-9.91,23.7561,-32.5523,-117.2479,39.5701,日常消费
300125.SZ,ST聆达,0,1.0,-2.55,-0.7632,-1.0596,-0.6393,47.9391,77.2024,-1.0729,88.6784,8.653,28.0643,2.3257,0.7203,0.8455,0.7711,0.4471,0.468,69.1144,21.0,-1982.3135,-5.1886,-11.7617,44.6876,工业
300555.SZ,ST路通,0,1.0,-3.05,-2.2737,-8.4469,-10.1068,11.0537,-20.262,-2.7828,3.0899,0.8771,1.7653,0.3377,0.2692,3.5828,2.9406,0.7205,-0.5102,22.0669,-41.52,471.3727,56.6057,29.5769,353.1679,信息技术
300592.SZ,华凯易佰,0,0.0,10.02,7.9977,5.5202,6.4741,112.8828,397.5252,5.57,591.5004,15.5211,3.8388,2.4372,1.4488,3.0893,2.1285,1.3698,0.4583,25.2632,6.46,131.9475,41.5803,8.8019,295.832,工业
300348.SZ,长亮科技,0,0.0,1.5,0.9954,1.2781,1.7705,20.0506,-81.0851,0.7048,-75.9295,2.7733,2.3188,1.0251,0.7788,2.2288,1.7504,0.659,-0.096,39.7064,-4.41,-370.8011,42.9229,14.3848,151.8488,信息技术
300287.SZ,飞利信,0,0.0,-24.79,-14.5005,-41.1257,-31.2505,-33.1571,-82.6031,-21.8919,-18.0359,1.1333,2.2615,0.6034,0.3526,1.3162,1.0593,0.13,-0.0129,45.8256,-1.52,3.7058,13.8941,-99.8294,118.2187,信息技术
300560.SZ,中富通,0,0.0,3.28,1.3434,3.4659,3.822,8.0726,-51.2387,3.2215,-54.7776,0.9746,11.7941,0.5014,0.3876,1.4754,1.4349,0.5747,0.0854,57.8919,11.43,337.2102,24.7868,17.0009,72.7356,信息技术
300872.SZ,天阳科技,0,0.0,2.66,1.9062,2.9594,2.4665,11.224,-42.5687,-1.0755,-52.3301,1.416,3.4224,0.7574,0.6441,3.0282,2.7126,0.7069,-0.2501,27.8014,-11.01,-357.984,55.8446,17.2022,259.6935,信息技术
300243.SZ,瑞丰高材,0,0.0,6.7,3.3687,3.3381,3.1574,-1.4464,-32.8479,4.6369,-56.0039,6.733,9.4718,2.0101,1.0092,1.5214,1.1953,0.4889,-0.0138,51.816,-0.47,-14.0992,16.7245,28.4502,92.9906,材料
300630.SZ,普利制药,0,0.0,11.71,5.509,18.2223,17.8515,24.6731,-3.0221,5.5645,-15.9438,1.7715,1.8152,0.7141,0.3023,1.3776,1.2016,0.4142,0.1215,58.0576,14.09,77.3284,11.5942,23.1831,72.2426,医疗保健
300019.SZ,硅宝科技,0,0.0,11.76,8.6579,9.2902,10.2838,5.4317,-6.4823,6.8851,-8.5264,5.4002,6.5483,1.3009,0.9319,3.4766,2.9874,2.0231,0.2248,21.0768,4.71,50.6612,49.5479,35.636,374.4564,材料
300433.SZ,蓝思科技,0,0.0,5.66,3.2523,5.396,6.3517,3.1598,18.8658,3.6151,37.1509,4.9856,5.885,1.6151,0.6027,1.2907,0.9891,0.5433,0.4142,43.3513,19.66,375.0092,8.2254,23.869,130.6734,信息技术
300341.SZ,麦克奥迪,0,0.0,18.59,13.3306,15.2041,19.6926,22.4756,43.446,24.3004,41.9966,3.4016,3.0508,1.1975,0.8768,3.2791,2.6237,1.2073,0.4743,24.1571,13.35,91.7131,51.5983,42.789,313.9568,工业
300245.SZ,天玑科技,0,0.0,-0.21,-0.2555,-0.7482,-1.8566,10.364,-112.0967,-4.2021,-134.8836,4.0734,2.4009,0.5137,0.3414,4.2846,4.1383,2.6657,-0.2967,15.7029,-13.06,2533.8584,49.9235,27.6239,536.8261,信息技术
300004.SZ,南风股份,0,0.0,1.45,1.139,7.3337,8.8948,-63.3429,103.2916,3.7504,104.0535,1.4181,1.2034,0.2071,0.1553,6.7262,5.7113,4.2837,0.0401,10.9821,2.69,34.033,61.9957,-55.2459,810.5756,工业
300437.SZ,清水源,0,0.0,-2.75,-1.4285,-2.6576,-1.729,10.1837,-159.5727,-1.6038,-126.4771,5.5764,4.4214,1.0914,0.5375,1.0949,1.0085,0.5848,0.1362,48.468,9.84,-404.3284,3.9532,6.5882,106.3216,材料
300713.SZ,英可瑞,0,0.0,-8.66,-6.3921,-18.8765,-12.946,34.1802,-918.9102,-7.8553,-1625.5427,1.764,2.6012,0.5914,0.3386,1.7046,1.4036,0.5459,-0.0857,34.5564,-8.08,45.5828,21.9874,16.5121,189.3816,工业
300637.SZ,扬帆新材,0,0.0,0.74,0.4071,0.7168,0.5871,9.8597,-13.9979,-1.1466,-45.3575,9.5706,3.3188,1.8609,0.5679,1.002,0.5362,0.2364,0.1853,45.4963,9.59,1338.0387,0.0589,23.0762,119.7981,材料
300866.SZ,安克创新,0,0.0,17.81,12.7362,8.3145,8.9437,13.3314,15.6608,13.1143,16.6802,12.316,4.9313,2.0239,1.5318,3.2695,2.5792,1.2435,0.6642,31.4637,9.99,124.5775,48.0182,34.0308,217.8263,信息技术
300255.SZ,常山药业,0,0.0,0.57,0.1809,0.4347,0.8755,-21.2874,-95.6084,-0.3499,-92.1937,6.7413,0.5506,0.6395,0.4162,2.1799,0.82,0.4521,0.0017,49.4015,0.13,17.8463,34.9516,29.7244,102.4229,医疗保健
300342.SZ,天银机电,0,0.0,0.52,0.3886,1.0244,1.5988,-19.2372,-91.3867,-2.8954,-88.4592,1.838,1.18,0.5926,0.3793,2.1382,1.2997,0.487,0.1268,30.537,9.68,1038.2881,33.74,33.4048,227.4711,工业
300682.SZ,朗新集团,0,0.0,7.83,4.5438,9.2989,9.585,-1.8904,-49.7235,6.3449,-50.7717,2.2231,1.4453,0.6956,0.4886,3.4495,3.3106,1.2707,0.1595,29.1816,6.94,61.453,49.6131,34.3818,242.6821,信息技术
300737.SZ,科顺股份,0,0.0,3.31,1.5188,2.3225,2.4994,-1.4166,-73.549,13.0633,-76.3815,1.8941,6.8547,0.8643,0.6539,1.5541,1.4633,0.4284,0.0385,55.5526,3.07,132.0526,26.7787,19.8572,80.0095,材料
300733.SZ,西菱动力,0,0.0,2.77,1.2915,3.1972,3.261,47.6426,67.9655,28.7665,175.1208,3.4602,2.4984,0.9502,0.4039,1.3102,0.9571,0.4588,0.0338,43.2513,3.39,101.4489,11.2324,13.843,131.2067,可选消费
300471.SZ,厚普股份,0,0.0,-12.56,-6.3325,-19.9081,-19.7762,-18.4127,-1271.6307,0.9898,-1248.2697,3.0151,0.9022,0.6518,0.3181,1.017,0.3997,0.1278,-0.0393,51.6759,-6.18,32.5264,0.8254,-4.9131,93.5139,工业
300391.SZ,长药控股,0,0.0,-2.52,1.1439,2.7593,4.9492,-31.6105,-72.0253,-3.0994,-54.8115,1.151,8.941,0.85,0.4146,1.1272,1.0888,0.0113,-0.0428,53.4839,-4.09,283.9094,5.4938,-9.4376,86.9723,医疗保健
300396.SZ,迪瑞医疗,0,0.0,13.71,9.8744,21.4518,23.9492,34.6892,24.6564,2.3145,26.9651,5.1493,1.9104,0.7774,0.4603,2.0164,1.6019,1.1125,0.0451,34.3708,3.35,15.6366,31.5077,45.9117,190.9446,医疗保健
300415.SZ,伊之密,0,0.0,17.94,8.4983,11.4637,12.6991,4.1616,-19.7761,8.2141,-22.6436,5.9529,1.92,1.2191,0.7413,1.6174,0.9535,0.2945,0.1707,55.4553,9.45,85.7886,23.1458,31.5035,80.3253,工业
300404.SZ,博济医药,0,0.0,3.32,2.44,6.9185,4.611,30.6845,-32.6182,5.0432,-58.4666,5.1914,1.3163,0.6047,0.3527,2.3359,1.775,1.1855,0.0937,29.7154,6.64,101.6962,31.7149,15.2666,236.5261,医疗保健
300542.SZ,新晨科技,0,0.0,8.6,4.4683,3.7738,4.032,37.1213,-25.2392,6.0366,-26.1882,3.7179,7.4839,1.6502,1.184,1.517,1.305,0.5119,-0.0414,52.849,-1.89,-52.6918,25.4628,23.4205,89.2182,信息技术
300802.SZ,矩子科技,0,0.0,11.42,9.6068,18.8434,21.8806,16.2436,30.6514,14.4359,34.5138,2.5565,1.6347,0.6321,0.5098,6.3211,4.5906,2.7462,0.0906,13.2665,2.34,12.3803,67.1422,37.8881,653.7805,信息技术
300561.SZ,汇金科技,0,0.0,1.15,1.0971,5.0564,4.3746,-5.9435,-42.767,-1.6353,-49.1785,1.9213,1.307,0.4977,0.217,4.6302,3.7476,1.7752,0.2724,9.0939,10.44,220.4913,30.6801,31.259,999.6436,信息技术
300892.SZ,品渥食品,0,0.0,0.98,0.7458,0.7281,0.6462,-6.7828,-88.2645,-0.6242,-91.6509,11.8645,4.4453,1.3759,1.0243,3.5847,2.489,1.9131,-0.6062,20.661,-11.7,-1607.2867,53.1726,30.4866,384.0032,日常消费
300316.SZ,晶盛机电,0,0.0,33.82,13.4488,28.9312,32.4106,78.4544,78.086,57.6168,73.0647,5.0617,0.6602,0.5946,0.4649,1.2901,0.5825,0.2022,0.075,61.1834,12.35,44.9271,17.5866,23.802,63.4431,工业
300045.SZ,华力创通,0,0.0,-6.95,-4.9203,-28.6481,-34.2509,-42.0948,51.4058,14.141,41.256,0.5374,0.7901,0.2555,0.1717,3.1638,2.4407,0.9658,0.1679,24.1692,20.92,-73.0825,45.5743,0.3125,313.7499,信息技术
300851.SZ,交大思诺,0,0.0,3.01,2.5359,11.8869,11.6701,-19.1686,-63.5526,0.538,-66.9937,1.3906,0.6672,0.2732,0.2133,10.2846,9.0233,6.1029,0.0207,8.891,0.72,5.7338,69.787,35.6332,1024.7349,信息技术
300164.SZ,通源石油,0,0.0,2.1,1.287,2.8448,3.2744,2.8671,45.5893,15.9824,104.1278,2.1261,3.6376,0.9793,0.4524,1.4423,1.1998,0.3871,0.1346,36.2035,10.09,348.2995,14.6393,-38.4855,176.2163,能源
300856.SZ,科思股份,0,0.0,21.99,18.9035,21.9934,26.2735,61.8479,192.1314,22.3819,195.5264,7.7195,2.8297,1.467,0.8595,4.6932,3.0935,1.9186,1.0127,14.3171,16.27,73.9981,46.1335,41.8053,598.4655,材料
300601.SZ,康泰生物,0,0.0,-1.44,-0.9501,-4.2031,-10.058,-13.5455,-110.5042,-1.9789,-121.8676,1.6823,0.5599,0.5046,0.2261,2.2117,1.9006,0.6233,0.2332,34.8244,17.28,-411.2009,20.5641,13.6656,187.155,医疗保健
300887.SZ,谱尼测试,0,0.0,10.46,8.8108,8.6192,9.2586,87.4776,47.2001,75.1785,45.15,4.0287,72.1699,1.7689,1.0222,3.1804,3.1329,1.7959,0.7027,22.4611,16.56,194.1979,42.205,31.1772,345.2134,工业
300110.SZ,华仁药业,0,0.0,7.39,3.3568,11.1972,12.2564,3.7567,35.2739,6.7279,31.189,2.2498,3.3881,0.5549,0.2998,1.345,1.2135,0.1103,0.1074,49.6415,13.46,120.5558,13.5619,15.8959,101.4444,医疗保健
300871.SZ,回盛生物,0,0.0,3.36,1.8394,5.1526,5.7833,2.6785,-60.331,-4.7825,-60.8304,3.5901,3.7047,0.6934,0.357,1.679,1.4318,0.9885,0.1201,48.4318,9.45,183.4319,18.2847,14.2889,106.4759,医疗保健
300489.SZ,光智科技,0,0.0,-32.74,-4.1813,-12.1731,-15.5365,29.2387,-2795.725,-24.8279,-1449.0988,4.6022,1.6168,0.9024,0.3435,0.9526,0.4689,0.1535,-0.003,89.8405,-0.37,3.0296,-1.8499,-0.3606,11.3084,材料
300835.SZ,龙磁科技,0,0.0,10.82,7.2652,11.3307,12.3807,15.305,-19.7552,4.4138,-24.3191,3.9076,2.3709,1.3475,0.6412,1.2649,0.7145,0.1726,0.0243,40.0118,1.57,13.8164,9.531,39.6302,149.9262,信息技术
300700.SZ,岱勒新材,0,0.0,14.29,6.8668,14.0348,15.9236,137.4193,212.8691,65.6591,220.2851,3.4625,3.0412,1.0273,0.4893,1.1355,0.897,0.4656,0.0223,50.8836,2.44,17.2458,6.2095,11.8554,96.5272,工业
300256.SZ,星星科技,0,0.0,16.21,4.8052,22.7482,49.1394,-80.558,109.9994,522.6462,119.1586,2.5327,4.7107,0.3592,0.2112,2.3255,2.0063,0.812,-0.534,27.9275,-52.42,-226.3922,30.1854,-252.2431,258.07,信息技术
300518.SZ,新迅达,0,0.0,4.85,8.7129,30.9744,20.8898,7.3185,-44.6916,9.508,-69.0314,12.4957,12.3531,0.6475,0.2813,3.6626,3.5998,3.3684,1.0725,14.3982,45.39,405.0907,29.7696,34.769,594.531,可选消费
300862.SZ,蓝盾光电,0,0.0,3.66,2.8579,9.7157,9.4017,-11.8345,-55.2054,0.8871,-61.1732,2.0019,1.9139,0.4203,0.2942,3.1704,2.6824,1.018,-0.1003,26.5824,-7.56,-83.0384,46.1015,25.6766,276.1885,工业
300597.SZ,吉大通信,0,0.0,2.55,1.7234,4.0632,4.4395,2.6198,-35.8085,25.3935,-41.1619,1.2962,1.6601,0.5065,0.4241,3.8697,2.8785,1.271,-0.2224,22.0653,-12.44,-292.5614,60.7785,30.0731,353.1993,信息技术
300470.SZ,中密控股,0,0.0,13.25,11.3601,25.4818,29.3253,7.3428,7.5935,5.7657,7.2803,2.24,1.676,0.5826,0.4458,5.8395,4.943,2.7354,0.7319,14.0423,22.01,86.4495,63.5817,51.8771,612.1342,工业
300922.SZ,天秦装备,0,0.0,3.1,2.8977,18.1816,21.2434,-38.6341,-66.6643,-1.3332,-66.2861,1.9097,2.5829,0.1954,0.1594,13.4906,12.8204,11.4834,0.8543,6.5948,31.82,175.0054,74.219,19.846,1416.3565,工业
300621.SZ,维业股份,0,0.0,0.78,0.7787,0.533,0.8698,47.478,-25.3319,-8.2434,-14.4434,9.8115,2.269,1.5318,1.4609,1.0531,0.9953,0.2083,0.1505,92.4446,11.23,25012.5402,4.8152,4.3517,8.1729,工业
300900.SZ,广联航空,0,0.0,8.95,6.2567,25.6822,26.3712,179.5492,352.1401,3.8741,421.1294,1.2623,1.28,0.5931,0.2436,2.2105,1.6376,0.3672,0.1993,40.8033,16.56,73.3431,21.4101,13.4832,145.0781,工业
300248.SZ,新开普,0,0.0,5.21,4.4269,10.9447,12.1905,5.2173,-31.7848,4.2046,-31.3862,1.8454,1.6387,0.6891,0.4045,2.8956,2.3505,0.9222,0.1813,19.0607,8.47,80.6321,35.0663,36.6023,424.6391,信息技术
300608.SZ,思特奇,0,0.0,1.81,0.6203,1.6143,2.0209,-7.7835,-77.645,62.8749,-73.4091,2.1837,1.4123,0.5751,0.3843,2.7267,2.2609,1.4814,0.0321,38.7804,2.52,121.9468,44.7546,18.6589,157.8623,信息技术
300295.SZ,三六五网,0,0.0,0.46,0.6559,7.1814,12.9762,-42.0134,-58.8839,0.4113,11.9665,4.8263,4.57046,0.1737,0.1436,4.8425,4.8425,1.1092,1.123,19.5761,211.2,5585.5702,68.0921,51.5014,410.8279,房地产
300308.SZ,中际旭创,0,0.0,10.28,7.4494,12.7952,13.7671,25.2929,39.1646,3.9713,37.851,5.4992,1.7732,0.9834,0.5822,2.937,1.7459,1.1965,0.7502,27.1063,25.4,200.0784,38.1884,23.9547,268.9179,信息技术
300180.SZ,华峰超纤,0,0.0,-7.16,-4.3491,-8.4056,-8.7837,2.183,-672.5442,-7.4688,-667.878,10.632,3.764,1.7181,0.5174,1.1208,0.6765,0.2491,0.0659,40.4176,3.46,-41.3873,3.3632,6.0069,147.4172,材料
300414.SZ,中光防雷,0,0.0,2.65,2.5882,5.4782,6.6765,-6.2961,43.1459,2.0704,52.4186,1.8828,2.0441,0.5465,0.4725,4.2655,3.4501,2.1981,0.4689,20.3839,20.49,458.9847,66.4248,41.8511,390.5842,工业
300061.SZ,旗天科技,0,0.0,4.28,2.6147,3.861,5.0968,19.0925,112.9288,3.536,118.2571,2.9326,74.4605,1.2197,0.6772,1.5744,1.5621,0.5033,0.1451,39.0115,8.66,210.2677,21.7857,-64.1951,156.3345,通讯服务
300717.SZ,华信新材,0,0.0,6.34,5.5098,11.6383,12.7021,6.392,91.1032,6.2631,87.1983,2.7709,5.3694,1.0104,0.4734,3.9954,3.3199,1.9283,0.9456,14.5367,25.57,219.7234,36.4895,40.0736,587.9123,材料
300843.SZ,胜蓝股份,0,0.0,5.9,3.1868,4.7355,5.0573,-10.1636,-48.299,12.5001,-47.6191,2.4655,6.115,0.9951,0.673,2.3788,2.1127,1.2546,0.2579,44.4819,12.05,236.0231,39.4067,23.7598,124.8104,信息技术
300211.SZ,亿通科技,0,0.0,5.05,4.1809,7.4181,8.3069,35.4498,-11.8605,6.1754,-9.2062,3.9398,5.6899,0.7554,0.5636,5.7992,5.2153,3.9991,0.0355,12.7889,0.78,10.5387,60.2552,27.8728,681.9295,信息技术
300645.SZ,正元智慧,0,0.0,7.89,3.5469,6.9451,6.1221,12.3994,14.8413,32.5711,-4.2456,1.9172,2.4829,0.846,0.5107,1.2792,1.033,0.3507,0.0387,49.9696,3.83,57.2848,12.1577,16.9133,100.1216,信息技术
300272.SZ,开能健康,0,0.0,7.63,4.4717,5.9872,6.8048,9.8681,-15.095,-9.3264,-25.7462,7.1401,3.5673,1.6705,0.7469,1.1173,0.7582,0.4743,0.1732,51.708,9.36,167.6196,4.5506,22.1812,93.3936,可选消费
300468.SZ,四方精创,0,0.0,2.77,2.7255,6.2051,5.3787,3.5177,-38.2701,33.6983,-48.0964,3.0984,4.3801,0.6305,0.4392,10.7647,10.0165,8.188,1.1955,7.5456,21.19,341.5559,66.6426,30.6809,1225.2675,信息技术
300693.SZ,盛弘股份,0,0.0,23.52,11.862,14.8723,16.4733,47.1631,97.0435,25.5334,99.7071,3.2298,2.072,1.0714,0.7976,1.5714,1.1314,0.5332,0.1844,53.005,13.46,90.4921,27.7194,26.2951,88.6615,工业
300380.SZ,安硕信息,0,0.0,-16.46,-9.5375,-10.2304,-12.3263,3.1576,-840.2046,-15.5674,-1004.9338,9.7885,1.3729,1.1093,0.9323,1.6869,0.5656,0.2406,-0.3715,50.7816,-20.07,215.5882,34.2033,11.2039,96.9217,信息技术
300047.SZ,天源迪科,0,0.0,0.99,1.1633,1.3108,1.6956,1.3935,-8.7314,-0.4522,-7.1227,3.167,2.7694,1.2604,0.8874,1.6057,0.9561,0.118,-0.0326,45.7419,-1.65,-289.085,26.7588,17.8506,118.6179,信息技术
300041.SZ,回天新材,0,0.0,12.38,5.6032,7.8203,8.5725,25.7115,29.1496,23.6488,31.8755,4.2792,5.6544,1.0938,0.7165,1.7673,1.5123,0.9239,0.0603,54.4585,3.6,45.7933,28.3673,20.3456,83.6262,材料
300207.SZ,欣旺达,0,0.0,6.96,1.2947,1.4536,0.8057,39.6254,-11.3191,53.9228,-57.434,4.968,5.1218,1.4564,0.8907,1.1575,0.9043,0.5242,0.0143,64.6864,1.07,52.5286,8.245,6.746,54.5919,工业
300659.SZ,中孚信息,0,0.0,-31.32,-22.1313,-69.3745,-69.2693,-49.2769,-482.3936,-29.2462,-450.8223,1.3612,1.7195,0.495,0.319,1.8465,1.6208,0.8728,-0.5548,36.3793,-53.69,77.3909,28.3215,1.7107,174.8812,信息技术
300753.SZ,爱朋医疗,0,0.0,-10.43,-8.6531,-23.64,-27.2766,-29.7917,-243.5678,-12.062,-258.3215,2.7948,2.4522,0.6967,0.366,3.0274,2.6125,1.7049,-0.1672,21.1271,-7.6,32.2005,34.2749,26.3874,373.3251,医疗保健
300519.SZ,新光药业,0,0.0,12.88,11.5145,30.96,36.0195,9.5404,-4.7772,1.4981,-4.5095,17.6947,3.643,0.4399,0.3719,9.1919,8.6696,8.3405,1.4307,10.3225,35.97,116.1811,75.5822,55.8794,868.7581,医疗保健
300719.SZ,安达维尔,0,0.0,-4.59,-3.6478,-11.1055,-15.045,-13.2317,-539.4469,-4.3429,-1425.2254,0.8133,0.8896,0.3827,0.3285,4.2705,3.1176,0.8877,-0.1045,21.77,-6.22,56.0468,64.7713,20.3316,359.3487,工业
300910.SZ,瑞丰新材,0,0.0,24.12,20.0858,19.3006,21.9622,181.7717,192.4395,26.9245,187.5116,16.4849,5.1772,1.3493,1.0407,4.0423,3.2011,2.6474,1.0399,18.9517,21.6,111.9035,56.6886,27.8209,427.6581,材料
300846.SZ,首都在线,0,0.0,-14.88,-10.727,-16.3841,-15.0938,0.2071,-923.5258,86.274,-11090.9905,4.2427,3.3144599999999995,2.0052,0.6547,1.0635,1.049,0.506,0.2878,43.5792,17.72,-114.6433,2.2021,2.1002,129.4673,信息技术
300652.SZ,雷迪克,0,0.0,9.46,7.0045,16.0138,18.232,9.5977,8.1561,23.1957,4.6017,5.072,1.8957,0.6091,0.4374,3.933,3.0774,2.5079,0.3352,18.0894,13.95,87.1416,52.1525,32.8544,452.8101,可选消费
